year,month,day,isHoliday
2021,1,1,True
2021,1,2,False
2021,1,3,False
2021,1,4,False
2021,1,5,False
2021,1,6,False
2021,1,7,False
2021,1,8,False
2021,1,9,False
2021,1,10,False
2021,1,11,False
2021,1,12,False
2021,1,13,False
2021,1,14,False
2021,1,15,False
2021,1,16,False
2021,1,17,False
2021,1,18,False
2021,1,19,False
2021,1,20,False
2021,1,21,False
2021,1,22,False
2021,1,23,False
2021,1,24,False
2021,1,25,False
2021,1,26,False
2021,1,27,False
2021,1,28,False
2021,1,29,False
2021,1,30,False
2021,1,31,False
2021,2,1,False
2021,2,2,False
2021,2,3,False
2021,2,4,False
2021,2,5,False
2021,2,6,False
2021,2,7,False
2021,2,8,False
2021,2,9,False
2021,2,10,False
2021,2,11,False
2021,2,12,False
2021,2,13,False
2021,2,14,False
2021,2,15,True
2021,2,16,False
2021,2,17,False
2021,2,18,False
2021,2,19,False
2021,2,20,False
2021,2,21,False
2021,2,22,False
2021,2,23,False
2021,2,24,False
2021,2,25,False
2021,2,26,False
2021,2,27,False
2021,2,28,False
2021,3,1,False
2021,3,2,False
2021,3,3,False
2021,3,4,False
2021,3,5,False
2021,3,6,False
2021,3,7,False
2021,3,8,False
2021,3,9,False
2021,3,10,False
2021,3,11,False
2021,3,12,False
2021,3,13,False
2021,3,14,False
2021,3,15,False
2021,3,16,False
2021,3,17,False
2021,3,18,False
2021,3,19,False
2021,3,20,False
2021,3,21,False
2021,3,22,False
2021,3,23,False
2021,3,24,False
2021,3,25,False
2021,3,26,False
2021,3,27,False
2021,3,28,False
2021,3,29,False
2021,3,30,False
2021,3,31,False
2021,4,1,False
2021,4,2,True
2021,4,3,False
2021,4,4,False
2021,4,5,False
2021,4,6,False
2021,4,7,False
2021,4,8,False
2021,4,9,False
2021,4,10,False
2021,4,11,False
2021,4,12,False
2021,4,13,False
2021,4,14,False
2021,4,15,False
2021,4,16,False
2021,4,17,False
2021,4,18,False
2021,4,19,False
2021,4,20,False
2021,4,21,False
2021,4,22,False
2021,4,23,False
2021,4,24,False
2021,4,25,False
2021,4,26,False
2021,4,27,False
2021,4,28,False
2021,4,29,False
2021,4,30,False
2021,5,1,False
2021,5,2,False
2021,5,3,False
2021,5,4,False
2021,5,5,False
2021,5,6,False
2021,5,7,False
